Id,fid,ContPop,pob
HGDP00542,1605,Oceania,
HGDP00554,1606,Oceania,
HGDP00662,1607,Oceania,
HGDP01027,1608,Oceania,
HGDP00521,1609,Europe,
HGDP00533,1610,Europe,
HGDP01361,1611,Europe,
HGDP01372,1612,Europe,
HGDP00667,1613,Europe,
HGDP01066,1614,Europe,
HGDP01078,1615,Europe,
HGDP01172,1616,Europe,
HGDP00794,1617,Europe,
HGDP00806,1618,Europe,
HGDP01313,1619,EastAsia,
HGDP01324,1620,EastAsia,
HGDP01336,1621,EastAsia,
HGDP01348,1622,EastAsia,
HGDP00947,1623,EastAsia,
HGDP00959,1624,EastAsia,
HGDP00748,1625,EastAsia,
HGDP00760,1626,EastAsia,
HGDP00770,1627,EastAsia,
HGDP00713,1628,EastAsia,
HGDP00543,1629,Oceania,
HGDP00555,1630,Oceania,
HGDP00663,1631,Oceania,
HGDP00522,1632,Europe,
HGDP00534,1633,Europe,
HGDP01220,1634,EastAsia,
HGDP01362,1635,Europe,
HGDP01373,1636,Europe,
HGDP00668,1637,Europe,
HGDP01067,1638,Europe,
HGDP01079,1639,Europe,
HGDP01173,1640,Europe,
HGDP00795,1641,Europe,
HGDP00807,1642,Europe,
HGDP01314,1643,EastAsia,
HGDP01325,1644,EastAsia,
HGDP01337,1645,EastAsia,
HGDP01349,1646,EastAsia,
HGDP00948,1647,EastAsia,
HGDP00960,1648,EastAsia,
HGDP00749,1649,EastAsia,
HGDP00761,1650,EastAsia,
HGDP00771,1651,EastAsia,
HGDP00714,1652,EastAsia,
HGDP00544,1653,Oceania,
HGDP00556,1654,Oceania,
HGDP00664,1655,Oceania,
HGDP00511,1656,Europe,
HGDP00523,1657,Europe,
HGDP00535,1658,Europe,
HGDP01363,1659,Europe,
HGDP01374,1660,Europe,
HGDP00669,1661,Europe,
HGDP01068,1662,Europe,
HGDP01147,1663,Europe,
HGDP01174,1664,Europe,
HGDP00796,1665,Europe,
HGDP00808,1666,Europe,
HGDP01315,1667,EastAsia,
HGDP01326,1668,EastAsia,
HGDP01338,1669,EastAsia,
HGDP01350,1670,EastAsia,
HGDP00949,1671,EastAsia,
HGDP00961,1672,EastAsia,
HGDP00750,1673,EastAsia,
HGDP00762,1674,EastAsia,
HGDP00772,1675,EastAsia,
HGDP00715,1676,EastAsia,
HGDP00545,1677,Oceania,
HGDP00490,1678,Oceania,
HGDP00787,1679,Oceania,
HGDP00512,1680,Europe,
HGDP00524,1681,Europe,
HGDP00536,1682,Europe,
HGDP00338,1683,CentralSouthAsia,
HGDP00392,1684,CentralSouthAsia,
HGDP01023,1685,EastAsia,
HGDP00812,1686,EastAsia,
HGDP01287,1687,EastAsia,
HGDP00625,1688,MiddleEast,
HGDP01316,1689,EastAsia,
HGDP01327,1690,EastAsia,
HGDP01339,1691,EastAsia,
HGDP01351,1692,EastAsia,
HGDP00950,1693,EastAsia,
HGDP00962,1694,EastAsia,
HGDP00751,1695,EastAsia,
HGDP00763,1696,EastAsia,
HGDP00773,1697,EastAsia,
HGDP00716,1698,EastAsia,
HGDP00546,1699,Oceania,
HGDP00491,1700,Oceania,
HGDP00788,1701,Oceania,
HGDP00513,1702,Europe,
HGDP00525,1703,Europe,
HGDP00537,1704,Europe,
HGDP01334,1705,EastAsia,
HGDP01346,1706,EastAsia,
HGDP00945,1707,EastAsia,
HGDP00957,1708,EastAsia,
HGDP00969,1709,EastAsia,
